round,emission_micro,total_supply_micro,halving_index
487,100,48700,0
488,100,48800,0
489,100,48900,0
490,100,49000,0
491,100,49100,0
492,100,49200,0
493,100,49300,0
494,100,49400,0
495,100,49500,0
496,100,49600,0
497,100,49700,0
498,100,49800,0
499,100,49900,0
500,100,50000,0
501,100,50100,0
502,100,50200,0
503,100,50300,0
504,100,50400,0
505,100,50500,0
506,100,50600,0
507,100,50700,0
508,100,50800,0
509,100,50900,0
510,100,51000,0
511,100,51100,0
512,100,51200,0
513,100,51300,0
514,100,51400,0
515,100,51500,0
516,100,51600,0
517,100,51700,0
518,100,51800,0
519,100,51900,0
520,100,52000,0
521,100,52100,0
522,100,52200,0
523,100,52300,0
524,100,52400,0
525,100,52500,0
526,100,52600,0
527,100,52700,0
528,100,52800,0
529,100,52900,0
530,100,53000,0
531,100,53100,0
532,100,53200,0
533,100,53300,0
534,100,53400,0
535,100,53500,0
536,100,53600,0
537,100,53700,0
538,100,53800,0
539,100,53900,0
540,100,54000,0
541,100,54100,0
542,100,54200,0
543,100,54300,0
544,100,54400,0
545,100,54500,0
546,100,54600,0
547,100,54700,0
548,100,54800,0
549,100,54900,0
550,100,55000,0
551,100,55100,0
552,100,55200,0
553,100,55300,0
554,100,55400,0
555,100,55500,0
556,100,55600,0
557,100,55700,0
558,100,55800,0
559,100,55900,0
560,100,56000,0
561,100,56100,0
562,100,56200,0
563,100,56300,0
564,100,56400,0
565,100,56500,0
566,100,56600,0
567,100,56700,0
568,100,56800,0
569,100,56900,0
570,100,57000,0
571,100,57100,0
572,100,57200,0
573,100,57300,0
574,100,57400,0
575,100,57500,0
576,100,57600,0
577,100,57700,0
578,100,57800,0
579,100,57900,0
580,100,58000,0
581,100,58100,0
582,100,58200,0
583,100,58300,0
584,100,58400,0
585,100,58500,0
586,100,58600,0
587,100,58700,0
588,100,58800,0
589,100,58900,0
590,100,59000,0
591,100,59100,0
592,100,59200,0
593,100,59300,0
594,100,59400,0
595,100,59500,0
596,100,59600,0
597,100,59700,0
598,100,59800,0
599,100,59900,0
600,100,60000,0
601,100,60100,0
602,100,60200,0
603,100,60300,0
604,100,60400,0
605,100,60500,0
606,100,60600,0
607,100,60700,0
608,100,60800,0
609,100,60900,0
610,100,61000,0
611,100,61100,0
612,100,61200,0
613,100,61300,0
614,100,61400,0
615,100,61500,0
616,100,61600,0
617,100,61700,0
618,100,61800,0
619,100,61900,0
620,100,62000,0
621,100,62100,0
622,100,62200,0
623,100,62300,0
624,100,62400,0
625,100,62500,0
626,100,62600,0
627,100,62700,0
628,100,62800,0
629,100,62900,0
630,100,63000,0
631,100,63100,0
632,100,63200,0
633,100,63300,0
634,100,63400,0
635,100,63500,0
636,100,63600,0
637,100,63700,0
638,100,63800,0
639,100,63900,0
640,100,64000,0
641,100,64100,0
642,100,64200,0
643,100,64300,0
644,100,64400,0
645,100,64500,0
